,index,topic,perspective,index,topic_tar_combined_score,persp_tar_combined_score,topic_inds_combined_score,persp_inds_combined_score,index,topic_tar_norm_syn_score,persp_tar_norm_syn_score,topic_inds_norm_syn_score,persp_inds_norm_syn_score,index,topic_tar_norm_cosine_score,persp_tar_norm_cosine_score,topic_inds_norm_cosine_score,persp_inds_norm_cosine_score
0,0,The use of child performers should be banned,It is unethical to expose children to the pressures of performing,0,child performers,children,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,pressures,"[3, 4, -1, -1, -1]","[8, -1, -1, -1, -1]"
1,0,The use of child performers should be banned,Imposing pressure on a child performer to perform is unethical.,0,child performers,performer,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]"
2,0,The use of child performers should be banned,Many consider it unethical to expose children to the pressures of performing. ,0,child performers,children,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,pressures,"[3, 4, -1, -1, -1]","[9, -1, -1, -1, -1]"
3,0,The use of child performers should be banned,Children shouldn't be pressured into performing.,0,child performers,children,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,use,performing,"[1, -1, -1, -1, -1]","[6, -1, -1, -1, -1]"
4,0,The use of child performers should be banned,Exposing children to performance pressure is unethical.,0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,performance pressure,"[3, 4, -1, -1, -1]","[3, 4, -1, -1, -1]"
5,0,The use of child performers should be banned,The government has no right to prevent children from doing what they enjoy and are good at,0,child performers,children,"[3, 4, -1, -1, -1]","[7, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[7, -1, -1, -1, -1]",0,use,children,"[1, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
6,0,The use of child performers should be banned,The children should have the final say on whether they want to do it or not.,0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]"
7,0,The use of child performers should be banned,The government should not interfere  in a child's decision.,0,child performers,child,"[3, 4, -1, -1, -1]","[7, -1, -1, -1, -1]",0,child performers,child,"[3, 4, -1, -1, -1]","[7, -1, -1, -1, -1]",0,use,child,"[1, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
8,0,The use of child performers should be banned,the government cannot protect children from entertaining,0,child performers,children,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]"
9,0,The use of child performers should be banned,performers are at risk of exploitation,0,child performers,performers,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,child performers,exploitation,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]"
10,0,The use of child performers should be banned,There exists the possibility that child performers can be exploited. ,0,child performers,performers,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]"
11,0,The use of child performers should be banned,Some child performers may be exploited by industry executives.,0,child performers,child performers,"[3, 4, -1, -1, -1]","[1, 2, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[1, 2, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[1, 2, -1, -1, -1]"
12,0,The use of child performers should be banned,Child performers might be exploited.,0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]"
13,0,The use of child performers should be banned,There is a risk that child performers might be exploited.,0,child performers,performers,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]"
14,0,The use of child performers should be banned,Being a performer limits a child’s formal education,0,child performers,child ’ s,"[3, 4, -1, -1, -1]","[5, 6, 7, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,child ’ s,"[3, 4, -1, -1, -1]","[5, 6, 7, -1, -1]"
15,0,The use of child performers should be banned,A child performer's formal education is limited by their work.,0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]"
16,0,The use of child performers should be banned,Work puts limits on the formal education received by a child performer.,0,child performers,performer,"[3, 4, -1, -1, -1]","[11, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[11, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[11, -1, -1, -1, -1]"
17,0,The use of child performers should be banned,A child's education is hampered by performing.,0,child performers,child,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,child,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,child,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]"
18,0,The use of child performers should be banned,"When a child works as a performer, their education suffers.",0,child performers,performer,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]",0,child performers,child,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[6, -1, -1, -1, -1]"
19,0,The use of child performers should be banned,Allowing children to perform pushes them to grow up too soon,0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,pushes,"[3, 4, -1, -1, -1]","[4, -1, -1, -1, -1]"
20,0,The use of child performers should be banned,Child performers are often pushed to grow up too soon.,0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]"
21,0,The use of child performers should be banned,Children that perform are often pushed to grow up too soon.,0,child performers,children,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,use,children,"[1, -1, -1, -1, -1]","[0, -1, -1, -1, -1]"
22,0,The use of child performers should be banned,Children grow up too fast when they're performers.,0,child performers,children,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[0, -1, -1, -1, -1]",0,use,children,"[1, -1, -1, -1, -1]","[0, -1, -1, -1, -1]"
23,0,The use of child performers should be banned,Being a performer forces a child to grow up too fast.,0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]"
24,0,The use of child performers should be banned,"Child performers are necessary for roles in some films, television shows, etc., and for the survival of some sports",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,use,roles,"[1, -1, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]"
25,0,The use of child performers should be banned,Child performers are the only people who fit some of these roles,0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,use,roles,"[1, -1, -1, -1, -1]","[11, -1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]"
26,0,The use of child performers should be banned,The child actors are the ones who can carry certain shows,0,child performers,child actors,"[3, 4, -1, -1, -1]","[1, 2, -1, -1, -1]",0,child performers,child actors,"[3, 4, -1, -1, -1]","[1, 2, -1, -1, -1]",0,child performers,child actors,"[3, 4, -1, -1, -1]","[1, 2, -1, -1, -1]"
27,0,The use of child performers should be banned,Child performers help films and sports,0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]"
28,0,The use of child performers should be banned,child performers are good for movies and shows,0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]",0,child performers,child performers,"[3, 4, -1, -1, -1]","[0, 1, -1, -1, -1]"
29,0,The use of child performers should be banned,"If child performers were banned, many children would find a way to perform illegally, now without legal protection.",0,child performers,performers,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]"
30,0,The use of child performers should be banned,"Even if banned, child performers would still be hired, although now without protection.",0,child performers,performers,"[3, 4, -1, -1, -1]","[4, -1, -1, -1, -1]",0,child performers,performers,"[3, 4, -1, -1, -1]","[4, -1, -1, -1, -1]",0,child performers,protection,"[3, 4, -1, -1, -1]","[12, -1, -1, -1, -1]"
31,0,The use of child performers should be banned,"if performing children were banned, some would perform illegally ",0,child performers,children,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]"
32,0,The use of child performers should be banned,"if children were banned from performing, some would do it anyways",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,children,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]"
33,0,The use of child performers should be banned,There will always be child actors but by not banning them at least there will be some protection for them,0,child performers,actors,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,actors,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]",0,child performers,actors,"[3, 4, -1, -1, -1]","[5, -1, -1, -1, -1]"
34,0,The use of child performers should be banned,Being a performer can make the child physically vulnerable,0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[2, -1, -1, -1, -1]"
35,0,The use of child performers should be banned,A child becomes physically vulnerable when they become a child performer.,0,child performers,performer,"[3, 4, -1, -1, -1]","[10, -1, -1, -1, -1]",0,child performers,child,"[3, 4, -1, -1, -1]","[1, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[10, -1, -1, -1, -1]"
36,0,The use of child performers should be banned,It can make a child physically vulnerable to be a child performer.,0,child performers,performer,"[3, 4, -1, -1, -1]","[11, -1, -1, -1, -1]",0,child performers,child,"[3, 4, -1, -1, -1]","[4, -1, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[11, -1, -1, -1, -1]"
37,0,The use of child performers should be banned,Working as a performer can make a child vulnerable.,0,child performers,child vulnerable,"[3, 4, -1, -1, -1]","[7, 8, -1, -1, -1]",0,child performers,performer,"[3, 4, -1, -1, -1]","[3, -1, -1, -1, -1]",0,child performers,child vulnerable,"[3, 4, -1, -1, -1]","[7, 8, -1, -1, -1]"
38,0,The use of child performers should be banned,Physical vulnerability might be a factor in being a child performer,0,child performers,child performer,"[3, 4, -1, -1, -1]","[9, 10, -1, -1, -1]",0,child performers,child performer,"[3, 4, -1, -1, -1]","[9, 10, -1, -1, -1]",0,child performers,child performer,"[3, 4, -1, -1, -1]","[9, 10, -1, -1, -1]"
39,0,Celebrities should be exempt from National Service (in South Korea),There are many professions that could more sensibly be given exemption such as teachers,0,service,professions,"[6, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,service,professions,"[6, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,south korea,exemption,"[8, 9, -1, -1, -1]","[10, -1, -1, -1, -1]"
40,0,Celebrities should be exempt from National Service (in South Korea),Many professions could more sensibly be given exemption  over celebrities. ,0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[9, -1, -1, -1, -1]",0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[9, -1, -1, -1, -1]",0,south korea,professions,"[8, 9, -1, -1, -1]","[1, -1, -1, -1, -1]"
41,0,Celebrities should be exempt from National Service (in South Korea),Vital employees and state workers could more  sensibly be given exemption  over celebrities. ,0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[12, -1, -1, -1, -1]",0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[12, -1, -1, -1, -1]",0,service,employees,"[6, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
42,0,Celebrities should be exempt from National Service (in South Korea),One of the great strengths of national service is that it demonstrates that everyone is equal,0,service,service,"[6, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,service,service,"[6, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,south korea,everyone,"[8, 9, -1, -1, -1]","[13, -1, -1, -1, -1]"
43,0,Celebrities should be exempt from National Service (in South Korea),National service shows everyone that each person is equal.,0,service,service,"[6, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,service,service,"[6, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,service,service,"[6, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
44,0,Celebrities should be exempt from National Service (in South Korea),Required national service shows everyone that every person is equal to each other,0,service,service,"[6, -1, -1, -1, -1]","[2, -1, -1, -1, -1]",0,service,service,"[6, -1, -1, -1, -1]","[2, -1, -1, -1, -1]",0,service,service,"[6, -1, -1, -1, -1]","[2, -1, -1, -1, -1]"
45,0,Celebrities should be exempt from National Service (in South Korea),nation service promotes equality,0,service,nation service,"[6, -1, -1, -1, -1]","[0, 1, -1, -1, -1]",0,service,nation service,"[6, -1, -1, -1, -1]","[0, 1, -1, -1, -1]",0,south korea,equality,"[8, 9, -1, -1, -1]","[3, -1, -1, -1, -1]"
